#
#   VizieR Astronomical Server: vizier.nao.ac.jp    	2008-09-08T15:17:26
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx29447	
#INFO	-out.max=50000	

#RESOURCE=yCat_9010
#Name: IX/10A
#Title: ROSAT All-Sky Bright Source Catalogue (1RXS) (Voges+ 1999)
#Table	IX_10A_1rxs:
#Name: IX/10A/1rxs
#Title: The 1RXS catalogue
#Column	_RAJ2000	(A11)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(A11)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	1RXS	(a16)	ROSAT All-Sky Survey Catalogue source name (1)	[ucd=meta.id;meta.main]
#Column	PosErr	(I2)	? Total positional error (including 6" systematic error)	[ucd=stat.error]
#_RAJ2000	_DEJ2000	1RXS	PosErr
#"h:m:s"	"d:m:s"		arcsec
#-----------	-----------	----------------	--
* V 8
04 16 02.70	+52 37 37.0	J041602.7+523737	12
04 16 06.10	-66 28 51.0	J041606.1-662851	10
04 16 09.50	-25 02 18.0	J041609.5-250218	23
04 16 09.90	-24 03 58.5	J041609.9-240358	29
04 16 11.40	-55 46 30.5	J041611.4-554630	24
04 16 35.20	+02 47 24.5	J041635.2+024724	 9
04 16 38.80	+40 02 36.5	J041638.8+400236	13
04 16 45.30	-42 26 06.5	J041645.3-422606	12
04 16 49.70	-25 44 32.5	J041649.7-254432	 9
04 16 52.60	+01 05 32.5	J041652.6+010532	 8
04 17 01.70	+33 14 30.0	J041701.7+331430	15
04 17 02.10	+35 31 16.0	J041702.1+353116	 8
04 17 13.80	+46 29 39.0	J041713.8+462939	 9
04 17 15.60	-54 45 18.5	J041715.6-544518	 9
04 17 17.10	+12 13 54.5	J041717.1+121354	11
04 17 17.60	-05 53 43.5	J041717.6-055343	 9
04 17 17.90	+08 49 40.5	J041717.9+084940	12
04 17 32.50	-13 10 17.0	J041732.5-131017	19
04 17 33.70	-11 54 12.0	J041733.7-115412	12
04 17 37.40	+47 15 14.5	J041737.4+471514	 8
04 17 37.60	-24 19 43.0	J041737.6-241943	12
04 17 38.40	+16 56 59.0	J041738.4+165659	10
04 17 43.50	-17 54 09.5	J041743.5-175409	15
04 17 44.10	+41 03 14.0	J041744.1+410314	 9
04 17 48.90	+00 11 54.5	J041748.9+001154	11
04 17 49.80	-55 42 13.0	J041749.8-554213	 9
04 17 51.10	+67 05 35.0	J041751.1+670535	17
04 17 56.30	-41 49 51.0	J041756.3-414951	11
04 17 56.90	-38 26 49.0	J041756.9-382649	 9
04 17 57.90	-80 12 43.0	J041757.9-801243	 9
04 18 01.50	+18 15 43.5	J041801.5+181543	12
04 18 11.10	+23 17 00.0	J041811.1+231700	 8
04 18 13.40	-42 03 11.0	J041813.4-420311	10
04 18 14.80	+50 17 47.0	J041814.8+501747	 7
04 18 21.20	+17 25 27.0	J041821.2+172527	 9
04 18 21.40	-29 38 13.5	J041821.4-293813	 9
04 18 21.60	+38 01 34.5	J041821.6+380134	 8
04 18 23.20	+21 34 48.0	J041823.2+213448	12
04 18 23.90	+73 16 31.5	J041823.9+731631	18
04 18 30.60	+28 27 20.5	J041830.6+282720	 7
04 18 33.60	-07 36 37.5	J041833.6-073637	10
04 18 41.00	-37 19 56.5	J041841.0-371956	10
04 18 45.20	+28 20 02.5	J041845.2+282002	17
04 18 47.70	-34 07 14.0	J041847.7-340714	 8
04 18 51.40	+17 23 35.5	J041851.4+172335	11
04 18 54.40	-12 35 15.5	J041854.4-123515	15
04 18 55.30	+13 24 58.0	J041855.3+132458	11
04 18 56.50	+13 14 12.5	J041856.5+131412	17
04 19 07.70	+17 31 24.0	J041907.7+173124	13
04 19 13.60	+50 02 54.5	J041913.6+500254	 8
04 19 15.40	-18 59 41.5	J041915.4-185941	17
04 19 18.00	-65 58 21.5	J041918.0-655821	11
04 19 20.50	-31 34 28.0	J041920.5-313428	10
04 19 24.80	+65 30 06.5	J041924.8+653006	10
04 19 25.80	+21 08 19.0	J041925.8+210819	 9
04 19 33.00	-17 02 04.5	J041933.0-170204	 9
04 19 36.10	+21 46 12.5	J041936.1+214612	14
04 19 38.60	+02 24 39.0	J041938.6+022439	14
04 19 39.00	-12 12 11.5	J041939.0-121211	11
04 19 41.60	-12 24 58.5	J041941.6-122458	14
04 19 41.70	+27 49 53.0	J041941.7+274953	14
04 19 42.60	+07 36 36.0	J041942.6+073636	18
04 19 46.00	+23 17 50.5	J041946.0+231750	11
04 19 47.60	+15 37 40.0	J041947.6+153740	 8
04 19 51.80	+70 56 17.5	J041951.8+705617	 9
04 19 53.50	+30 09 49.0	J041953.5+300949	 8
04 19 55.20	+16 31 35.0	J041955.2+163135	10
04 19 57.00	+14 02 13.5	J041957.0+140213	10
04 20 00.50	-54 56 17.0	J042000.5-545617	 8
04 20 03.10	-50 23 00.0	J042003.1-502300	12
04 20 11.90	+07 42 47.5	J042011.9+074247	12
04 20 12.50	+19 13 52.5	J042012.5+191352	16
04 20 12.82	-60 14 46.2	J042012.8-601446	
04 20 20.40	-35 50 53.0	J042020.4-355053	10
04 20 24.50	+34 34 07.5	J042024.5+343407	10
04 20 25.50	+18 44 16.5	J042025.5+184416	12
04 20 35.80	-07 38 07.5	J042035.8-073807	11
04 20 38.40	-06 14 43.5	J042038.4-061443	 8
04 20 39.60	+65 08 30.5	J042039.6+650830	 7
04 20 48.90	-34 20 45.5	J042048.9-342045	11
04 20 49.50	-15 20 00.5	J042049.5-152000	14
04 20 52.80	+13 51 55.5	J042052.8+135155	10
04 21 10.10	-24 32 26.5	J042110.1-243226	 8
04 21 23.70	-57 32 44.5	J042123.7-573244	11
04 21 23.70	-60 00 32.0	J042123.7-600032	11
04 21 32.10	+21 02 19.5	J042132.1+210219	12
04 21 32.70	-06 28 49.5	J042132.7-062849	11
04 21 33.10	-25 43 12.5	J042133.1-254312	 9
04 21 34.20	+14 24 25.5	J042134.2+142425	 9
04 21 39.20	-72 33 52.0	J042139.2-723352	10
04 21 44.00	-57 16 01.5	J042144.0-571601	11
04 21 47.20	-21 46 14.5	J042147.2-214614	12
04 21 47.70	+11 40 11.0	J042147.7+114011	10
04 21 48.30	-43 17 26.5	J042148.3-431726	 9
04 21 53.30	+36 07 46.5	J042153.3+360746	23
04 21 56.80	-18 19 42.0	J042156.8-181942	19
04 21 58.60	+28 18 05.0	J042158.6+281805	 7
04 22 01.00	+48 56 10.5	J042201.0+485610	14
04 22 02.20	-41 53 24.5	J042202.2-415324	 9
04 22 08.30	+19 15 10.0	J042208.3+191510	12
04 22 08.50	-28 49 02.0	J042208.5-284902	 7
04 22 10.80	-04 40 37.0	J042210.8-044037	16
04 22 18.20	+19 50 47.0	J042218.2+195047	10
04 22 19.70	-28 42 47.5	J042219.7-284247	 9
04 22 24.00	+03 37 10.0	J042224.0+033710	12
04 22 43.60	+16 47 24.0	J042243.6+164724	14
04 22 44.60	+15 03 11.0	J042244.6+150311	 8
04 22 44.80	-44 32 41.0	J042244.8-443241	 8
04 23 07.30	-39 53 56.5	J042307.3-395356	 9
04 23 08.20	+33 27 04.0	J042308.2+332704	12
04 23 15.10	-01 20 19.0	J042315.1-012019	10
04 23 15.80	+55 56 52.0	J042315.8+555652	11
04 23 23.20	+80 55 11.5	J042323.2+805511	13
04 23 29.70	+24 24 26.5	J042329.7+242426	13
04 23 31.30	+09 54 44.0	J042331.3+095444	14
04 23 32.80	+74 53 00.5	J042332.8+745300	11
04 23 40.70	+15 37 40.0	J042340.7+153740	10
04 23 46.80	+29 40 33.0	J042346.8+294033	15
04 23 50.40	+09 12 28.0	J042350.4+091228	 9
04 23 50.40	+14 55 14.5	J042350.4+145514	10
04 23 53.00	-33 31 28.5	J042353.0-333128	11
04 23 59.50	-43 08 18.0	J042359.5-430818	11
04 24 01.10	-55 12 17.0	J042401.1-551217	13
04 24 05.10	+53 29 39.5	J042405.1+532939	 7
04 24 08.20	-52 34 53.0	J042408.2-523453	11
04 24 11.60	-23 56 34.0	J042411.6-235634	10
04 24 12.20	+14 45 20.5	J042412.2+144520	 8
04 24 13.10	+16 22 17.0	J042413.1+162217	11
04 24 14.50	-57 04 13.0	J042414.5-570413	14
04 24 14.60	+21 44 12.0	J042414.6+214412	 9
04 24 27.50	+16 53 05.5	J042427.5+165305	12
04 24 37.70	+33 57 43.0	J042437.7+335743	 9
04 24 40.90	-20 07 15.0	J042440.9-200715	10
04 24 41.90	-06 47 25.5	J042441.9-064725	 9
04 24 42.60	-37 56 16.5	J042442.6-375616	12
04 24 48.40	+26 43 20.0	J042448.4+264320	 9
04 24 48.70	+15 52 26.5	J042448.7+155226	 9
04 24 55.40	-77 40 57.5	J042455.4-774057	 9
04 24 55.80	-40 02 39.5	J042455.8-400239	10
04 24 56.70	-34 45 16.5	J042456.7-344516	12
04 24 57.10	+19 02 28.5	J042457.1+190228	11
04 25 00.60	+11 58 34.0	J042500.6+115834	12
04 25 13.40	+17 15 48.0	J042513.4+171548	 8
04 25 16.20	-44 09 42.0	J042516.2-440942	12
04 25 17.80	+26 18 05.5	J042517.8+261805	13
04 25 23.00	+63 20 16.0	J042523.0+632016	27
04 25 32.50	-37 42 12.0	J042532.5-374212	13
04 25 33.00	+34 47 15.5	J042533.0+344715	 8
04 25 36.70	+15 56 17.0	J042536.7+155617	 8
04 25 37.20	-27 02 38.0	J042537.2-270238	11
04 25 42.80	-02 13 52.0	J042542.8-021352	14
04 25 51.30	-08 33 29.0	J042551.3-083329	12
04 25 51.60	+18 51 41.5	J042551.6+185141	 8
04 25 51.90	-32 47 59.0	J042551.9-324759	12
04 25 55.00	+36 02 40.5	J042555.0+360240	11
04 25 55.80	-19 45 34.0	J042555.8-194534	 8
04 25 57.30	-30 31 59.0	J042557.3-303159	12
04 25 57.60	+05 09 06.5	J042557.6+050906	12
04 26 01.60	-57 12 02.0	J042601.6-571202	 8
04 26 06.00	+15 31 46.9	J042606.0+153146	
04 26 08.90	+35 41 51.0	J042608.9+354151	 9
04 26 16.90	-37 57 30.5	J042616.9-375730	 8
04 26 20.90	+15 36 46.5	J042620.9+153646	 7
04 26 24.60	+16 50 39.0	J042624.6+165039	10
04 26 38.50	+38 44 58.0	J042638.5+384458	11
04 26 40.30	+16 44 30.5	J042640.3+164430	11
04 26 45.20	-55 22 11.0	J042645.2-552211	 8
04 26 48.60	-01 43 13.0	J042648.6-014313	10
04 26 50.60	-55 55 36.5	J042650.6-555536	19
04 27 00.90	-20 43 21.0	J042700.9-204321	29
04 27 04.10	+07 16 31.5	J042704.1+071631	 9
04 27 04.50	-59 48 54.5	J042704.5-594854	11
04 27 06.20	+18 12 17.5	J042706.2+181217	 8
04 27 10.20	-62 47 12.0	J042710.2-624712	14
04 27 10.40	+17 50 32.0	J042710.4+175032	 9
04 27 17.00	+22 59 45.0	J042717.0+225945	13
04 27 20.00	-44 20 19.5	J042720.0-442019	 9
04 27 25.00	+07 35 45.5	J042725.0+073545	 9
04 27 32.30	+06 15 44.0	J042732.3+061544	 8
04 27 33.40	-18 29 56.0	J042733.4-182956	 9
04 27 34.00	+74 07 35.5	J042734.0+740735	 7
04 27 36.00	+15 35 02.5	J042736.0+153502	 9
04 27 43.20	+43 11 27.0	J042743.2+431127	 9
04 27 46.00	+11 43 55.0	J042746.0+114355	10
04 27 46.00	-10 58 43.5	J042746.0-105843	17
04 28 09.80	-57 37 44.5	J042809.8-573744	 9
04 28 13.60	-37 52 44.5	J042813.6-375244	10
04 28 19.60	-01 54 23.0	J042819.6-015423	10
04 28 21.80	-43 44 49.5	J042821.8-434449	 9
04 28 29.40	+17 41 38.0	J042829.4+174138	 9
04 28 30.70	-17 34 26.5	J042830.7-173426	 8
04 28 34.70	+15 57 21.5	J042834.7+155721	 6
04 28 35.70	+30 50 56.0	J042835.7+305056	15
04 28 36.30	-39 48 12.5	J042836.3-394812	15
04 28 48.30	+17 16 51.0	J042848.3+171651	11
04 28 49.70	-46 21 18.5	J042849.7-462118	 9
04 28 51.20	+16 17 03.0	J042851.2+161703	 8
04 28 51.80	+30 21 45.0	J042851.8+302145	 8
04 28 53.40	-37 44 49.5	J042853.4-374449	10
04 28 59.40	-22 08 08.5	J042859.4-220808	15
04 28 59.80	+21 55 19.0	J042859.8+215519	 8
04 29 00.10	+16 09 13.5	J042900.1+160913	 9
04 29 00.50	-32 36 33.5	J042900.5-323633	 8
04 29 03.30	-53 48 58.0	J042903.3-534858	14
04 29 05.10	+40 57 08.0	J042905.1+405708	11
04 29 16.40	-26 54 32.5	J042916.4-265432	 8
04 29 20.80	+17 32 37.5	J042920.8+173237	 9
04 29 32.20	-28 16 38.0	J042932.2-281638	11
04 29 36.00	-02 53 01.5	J042936.0-025301	11
04 29 37.80	+23 20 32.5	J042937.8+232032	 7
04 29 44.10	-48 32 08.5	J042944.1-483208	11
04 29 44.40	-27 37 28.5	J042944.4-273728	16
04 29 47.70	-30 52 40.0	J042947.7-305240	32
04 29 48.90	-67 03 14.5	J042948.9-670314	 9
04 29 56.30	+16 54 31.5	J042956.3+165431	12
04 29 58.20	+83 20 43.0	J042958.2+832043	 9
04 30 04.50	+18 13 42.5	J043004.5+181342	 9
04 30 09.70	+15 38 12.5	J043009.7+153812	13
04 30 15.00	-45 05 37.0	J043015.0-450537	 9
04 30 17.00	+00 58 53.5	J043017.0+005853	 9
04 30 18.30	+19 49 53.5	J043018.3+194953	 9
04 30 24.60	+39 51 24.5	J043024.6+395124	12
04 30 26.50	+56 27 34.5	J043026.5+562734	 9
04 30 26.80	-42 48 36.5	J043026.8-424836	10
04 30 30.40	-81 59 03.5	J043030.4-815903	13
04 30 37.20	+13 43 20.0	J043037.2+134320	10
04 30 38.30	+22 54 21.5	J043038.3+225421	10
04 30 39.90	-53 36 56.0	J043039.9-533656	 7
04 30 47.40	+16 08 26.0	J043047.4+160826	 8
04 30 49.50	+21 13 56.0	J043049.5+211356	 9
04 30 55.50	-21 31 07.5	J043055.5-213107	14
04 30 57.50	+10 44 54.5	J043057.5+104454	 9
04 30 57.60	+12 18 11.5	J043057.6+121811	10
04 31 02.50	-06 45 16.5	J043102.5-064516	16
04 31 03.50	-45 21 12.0	J043103.5-452112	 9
04 31 13.40	-78 37 46.0	J043113.4-783746	 8
04 31 14.50	+27 10 21.0	J043114.5+271021	 9
04 31 15.50	-55 13 19.5	J043115.5-551319	14
04 31 16.10	+42 17 14.0	J043116.1+421714	 9
04 31 17.10	+21 50 10.0	J043117.1+215010	16
04 31 19.50	+37 51 43.5	J043119.5+375143	11
04 31 24.80	+18 15 58.5	J043124.8+181558	10
04 31 26.60	-61 26 22.5	J043126.6-612622	22
04 31 30.40	-32 08 14.0	J043130.4-320814	10
04 31 32.90	-73 37 58.0	J043132.9-733758	 8
04 31 35.70	+22 50 39.0	J043135.7+225039	 9
04 31 36.10	+17 42 19.5	J043136.1+174219	22
04 31 36.90	-02 41 16.5	J043136.9-024116	 8
04 31 37.90	-30 42 37.5	J043137.9-304237	20
04 31 38.40	-05 04 57.5	J043138.4-050457	14
04 31 53.60	-58 52 18.5	J043153.6-585218	12
04 31 56.90	+36 44 40.5	J043156.9+364440	 8
04 31 57.00	-69 24 44.0	J043157.0-692444	16
04 32 04.90	+05 24 16.0	J043204.9+052416	13
04 32 08.00	+81 16 27.5	J043208.0+811627	10
04 32 08.70	-35 06 51.0	J043208.7-350651	18
04 32 09.10	+17 56 51.5	J043209.1+175651	11
04 32 12.70	-02 12 00.0	J043212.7-021200	10
04 32 13.90	+18 19 59.0	J043213.9+181959	13
04 32 17.00	+18 01 22.5	J043217.0+180122	11
04 32 24.60	-54 21 37.0	J043224.6-542137	11
04 32 24.80	+38 48 04.5	J043224.8+384804	13
04 32 25.30	-39 03 01.0	J043225.3-390301	11
04 32 25.90	+13 06 48.5	J043225.9+130648	 8
04 32 34.30	-46 02 54.5	J043234.3-460254	 9
04 32 36.70	-32 54 26.0	J043236.7-325426	12
04 32 37.70	+09 51 03.0	J043237.7+095103	 8
04 32 43.20	-15 20 03.5	J043243.2-152003	11
04 32 44.00	+18 55 05.5	J043244.0+185505	10
04 32 55.90	+74 07 06.5	J043255.9+740706	 9
04 33 03.50	-50 44 57.5	J043303.5-504457	35
04 33 04.70	-46 46 02.5	J043304.7-464602	11
04 33 09.40	-39 28 52.5	J043309.4-392852	14
04 33 11.20	+05 21 12.0	J043311.2+052112	 8
04 33 11.60	-04 42 00.5	J043311.6-044200	 9
04 33 14.20	+45 07 06.5	J043314.2+450706	11
04 33 23.70	+23 59 24.0	J043323.7+235924	 8
04 33 32.50	-78 35 25.0	J043332.5-783525	10
04 33 33.10	+18 00 49.5	J043333.1+180049	 7
04 33 33.40	+04 04 36.0	J043333.4+040436	14
04 33 34.80	+20 44 37.0	J043334.8+204437	11
04 33 37.70	-13 15 28.5	J043337.7-131528	10
04 33 39.00	-35 08 46.5	J043339.0-350846	11
04 33 40.30	-37 29 18.5	J043340.3-372918	18
04 33 40.30	-44 37 26.5	J043340.3-443726	11
04 33 46.70	+13 15 14.0	J043346.7+131514	 9
04 33 49.20	+74 10 56.5	J043349.2+741056	13
04 33 52.20	+64 38 05.0	J043352.2+643805	 7
04 33 56.70	-61 29 09.5	J043356.7-612909	 9
04 33 57.50	+15 09 40.5	J043357.5+150940	14
04 34 02.40	-01 11 53.5	J043402.4-011153	12
04 34 12.10	+11 33 53.5	J043412.1+113353	19
04 34 12.30	-31 49 11.0	J043412.3-314911	 8
04 34 17.00	+20 29 55.0	J043417.0+202955	16
04 34 24.40	-47 57 55.5	J043424.4-475755	14
04 34 29.00	+71 27 57.0	J043429.0+712757	 8
04 34 31.80	-57 27 18.5	J043431.8-572718	 9
04 34 32.20	-44 46 25.0	J043432.2-444625	13
04 34 33.60	+47 36 26.5	J043433.6+473626	11
04 34 35.40	+15 30 15.5	J043435.4+153015	14
04 34 36.50	+18 02 29.5	J043436.5+180229	12
04 34 39.00	+25 00 59.5	J043439.0+250059	 7
04 34 40.00	+15 12 25.0	J043440.0+151225	13
04 34 40.10	+51 00 09.5	J043440.1+510009	 9
04 34 42.10	+40 14 25.5	J043442.1+401425	 8
04 34 47.40	-29 15 21.5	J043447.4-291521	15
04 34 47.80	-37 42 20.5	J043447.8-374220	12
04 34 51.00	-35 47 15.5	J043451.0-354715	 9
04 34 54.60	-47 26 30.0	J043454.6-472630	13
04 35 02.30	+08 39 32.0	J043502.3+083932	 9
04 35 09.80	-75 27 32.5	J043509.8-752732	11
04 35 13.80	-46 15 24.0	J043513.8-461524	 8
04 35 18.70	-26 21 20.5	J043518.7-262120	16
04 35 20.20	-14 54 52.5	J043520.2-145452	19
04 35 20.20	-78 01 50.5	J043520.2-780150	 7
04 35 33.70	+12 06 05.0	J043533.7+120605	 8
04 35 36.00	-25 27 28.5	J043536.0-252728	 9
04 35 38.50	+10 09 41.5	J043538.5+100941	 8
04 35 41.20	-10 17 31.5	J043541.2-101731	14
04 35 53.60	+22 54 10.0	J043553.6+225410	 8
04 35 54.20	-36 36 35.0	J043554.2-363635	 8
04 35 56.80	+23 52 10.0	J043556.8+235210	10
04 35 59.60	-38 41 40.0	J043559.6-384140	13
04 36 03.70	+18 53 06.0	J043603.7+185306	13
04 36 12.50	-68 22 36.0	J043612.5-682236	15
04 36 17.20	-47 14 09.0	J043617.2-471409	12
04 36 18.30	+55 01 37.0	J043618.3+550137	 8
04 36 18.50	+25 42 55.0	J043618.5+254255	10
04 36 18.80	-10 51 13.0	J043618.8-105113	15
04 36 20.70	+10 38 51.5	J043620.7+103851	17
04 36 21.30	-48 53 07.0	J043621.3-485307	 9
04 36 22.30	-10 22 26.0	J043622.3-102226	 7
04 36 23.70	+63 58 36.0	J043623.7+635836	11
04 36 26.20	-16 05 17.5	J043626.2-160517	19
04 36 29.30	-78 50 46.5	J043629.3-785046	14
04 36 36.00	-87 27 55.5	J043636.0-872755	10
04 36 40.90	+15 51 56.5	J043640.9+155156	 9
04 36 42.40	-08 37 50.5	J043642.4-083750	20
04 36 43.80	+10 03 23.0	J043643.8+100323	11
04 36 47.00	-51 53 25.5	J043647.0-515325	16
04 36 47.30	-12 09 05.5	J043647.3-120905	10
04 36 48.20	+27 07 59.5	J043648.2+270759	 6
04 36 52.90	+19 17 24.5	J043652.9+191724	 8
04 36 55.30	-38 27 17.5	J043655.3-382717	14
04 36 57.10	-16 12 58.5	J043657.1-161258	 8
04 37 00.10	-51 50 12.5	J043700.1-515012	23
04 37 00.30	-39 46 01.0	J043700.3-394601	10
04 37 09.80	+00 43 37.5	J043709.8+004337	14
04 37 11.90	-47 31 42.0	J043711.9-473142	10
04 37 14.50	-47 15 03.0	J043714.5-471503	 9
04 37 25.70	-46 24 55.0	J043725.7-462455	10
04 37 26.60	-47 11 18.5	J043726.6-471118	 9
04 37 27.70	+18 51 28.5	J043727.7+185128	 8
04 37 31.30	+15 08 27.0	J043731.3+150827	10
04 37 31.90	+14 18 11.5	J043731.9+141811	16
04 37 37.30	-02 29 37.5	J043737.3-022937	 7
04 37 37.60	-29 54 11.0	J043737.6-295411	14
04 37 40.60	+52 53 46.5	J043740.6+525346	11
04 37 42.20	-05 27 38.5	J043742.2-052738	12
04 37 45.60	-31 24 34.0	J043745.6-312434	14
04 37 46.10	-01 19 30.0	J043746.1-011930	 8
04 37 50.80	+05 03 14.5	J043750.8+050314	11
04 37 50.80	+21 11 51.0	J043750.8+211151	23
04 37 51.30	+01 26 32.5	J043751.3+012632	 9
04 37 59.90	-43 15 40.0	J043759.9-431540	10
04 38 00.40	+22 59 43.5	J043800.4+225943	11
04 38 02.90	-05 56 23.0	J043802.9-055623	12
04 38 07.60	+42 07 01.5	J043807.6+420701	 8
04 38 11.10	-07 26 21.0	J043811.1-072621	 9
04 38 12.20	+28 13 05.0	J043812.2+281305	 8
04 38 13.80	-10 47 40.5	J043813.8-104740	13
04 38 15.90	+20 41 04.5	J043815.9+204104	 8
04 38 20.60	+29 00 18.5	J043820.6+290018	15
04 38 25.90	-02 44 19.5	J043825.9-024419	13
04 38 27.90	-49 06 31.0	J043827.9-490631	13
04 38 30.00	-61 47 58.0	J043830.0-614758	10
04 38 30.20	+26 56 25.5	J043830.2+265625	18
04 38 34.70	-56 17 40.5	J043834.7-561740	10
04 38 35.00	-09 20 48.0	J043835.0-092048	14
04 38 38.70	-66 13 59.5	J043838.7-661359	 9
04 38 39.90	+15 46 15.0	J043839.9+154615	12
04 38 44.10	-27 01 47.0	J043844.1-270147	14
04 38 46.90	-36 34 50.5	J043846.9-363450	14
04 38 47.00	-47 27 51.5	J043847.0-472751	 8
04 38 51.40	+23 09 00.5	J043851.4+230900	12
04 38 54.30	-22 06 52.0	J043854.3-220652	30
04 38 54.30	-48 25 11.0	J043854.3-482511	10
04 38 55.10	+19 11 00.0	J043855.1+191100	10
04 39 01.00	-10 47 52.0	J043901.0-104752	15
04 39 01.20	+07 16 16.0	J043901.2+071616	16
04 39 02.00	+05 20 50.5	J043902.0+052050	17
04 39 02.80	-55 58 29.0	J043902.8-555829	10
04 39 13.70	-46 00 45.0	J043913.7-460045	10
04 39 17.90	+22 48 02.5	J043917.9+224802	10
04 39 22.20	-09 36 25.5	J043922.2-093625	11
04 39 26.10	+33 32 18.5	J043926.1+333218	14
04 39 29.50	-04 36 05.5	J043929.5-043605	 7
04 39 31.00	+34 07 37.0	J043931.0+340737	 8
04 39 31.40	-32 00 45.0	J043931.4-320045	11
04 39 38.90	-05 02 02.5	J043938.9-050202	13
04 39 39.40	-53 11 22.5	J043939.4-531122	 9
04 39 43.20	-45 40 39.0	J043943.2-454039	11
04 39 44.20	-09 03 27.5	J043944.2-090327	16
04 39 50.40	-68 08 54.5	J043950.4-680854	 6
04 39 55.50	+53 04 58.0	J043955.5+530458	10
04 39 57.30	+53 28 35.0	J043957.3+532835	11
04 40 03.60	+12 11 49.5	J044003.6+121149	 8
04 40 09.80	+25 35 33.5	J044009.8+253533	 8
04 40 10.70	+40 47 35.5	J044010.7+404735	12
04 40 17.80	-24 59 18.5	J044017.8-245918	10
04 40 22.80	-05 30 20.0	J044022.8-053020	10
04 40 23.50	+31 26 37.5	J044023.5+312637	15
04 40 26.30	+76 34 01.0	J044026.3+763401	10
04 40 33.90	-41 51 42.5	J044033.9-415142	 7
04 40 46.90	+27 39 48.5	J044046.9+273948	11
04 40 47.50	-49 25 05.5	J044047.5-492505	 9
04 40 47.60	-47 42 44.5	J044047.6-474244	22
04 40 48.00	+29 24 40.5	J044048.0+292440	10
04 40 49.30	-60 11 00.5	J044049.3-601100	 9
04 41 01.80	+39 29 04.0	J044101.8+392904	10
04 41 05.20	+24 51 07.0	J044105.2+245107	10
04 41 07.10	+11 32 13.0	J044107.1+113213	10
04 41 07.80	+12 35 16.5	J044107.8+123516	19
04 41 10.80	-49 12 55.0	J044110.8-491255	 8
04 41 16.80	-43 13 31.0	J044116.8-431331	11
04 41 19.00	+20 54 10.5	J044119.0+205410	 6
04 41 20.60	-19 47 29.5	J044120.6-194729	12
04 41 22.00	-32 30 01.0	J044122.0-323001	16
04 41 22.70	-27 08 11.5	J044122.7-270811	10
04 41 23.20	+28 37 18.0	J044123.2+283718	10
04 41 23.40	+32 42 26.5	J044123.4+324226	 9
04 41 27.80	+14 04 28.0	J044127.8+140428	 9
04 41 27.80	+15 04 55.0	J044127.8+150455	 7
04 41 34.00	-44 16 39.5	J044134.0-441639	14
04 41 34.20	-19 40 58.5	J044134.2-194058	11
04 41 42.00	+08 26 11.5	J044142.0+082611	13
04 41 45.70	-47 15 40.5	J044145.7-471540	12
04 41 48.10	-01 18 06.5	J044148.1-011806	 8
04 41 54.50	-08 26 39.0	J044154.5-082639	 8
04 41 55.60	+26 58 51.5	J044155.6+265851	 8
04 41 57.80	+05 36 41.0	J044157.8+053641	 9
04 42 03.70	-37 08 35.5	J044203.7-370835	13
04 42 05.60	+25 23 05.0	J044205.6+252305	16
04 42 10.00	-03 23 27.5	J044210.0-032327	10
04 42 24.30	-59 54 17.5	J044224.3-595417	23
04 42 29.80	-00 18 23.0	J044229.8-001823	11
04 42 30.10	+20 27 07.0	J044230.1+202707	10
04 42 31.20	+09 06 07.5	J044231.2+090607	13
04 42 37.80	-28 25 34.0	J044237.8-282534	12
04 42 37.90	+72 58 38.0	J044237.9+725838	18
04 42 39.30	+61 40 40.5	J044239.3+614040	10
04 42 40.90	+10 17 46.5	J044240.9+101746	 9
04 42 45.60	+64 37 28.0	J044245.6+643728	13
04 42 49.90	-14 52 34.0	J044249.9-145234	10
04 42 55.90	-26 34 52.5	J044255.9-263452	12
04 42 56.00	-18 56 11.5	J044256.0-185611	 8
04 43 06.40	-56 39 28.5	J044306.4-563928	10
04 43 07.10	-03 46 55.5	J044307.1-034655	 8
04 43 09.90	+02 10 28.0	J044309.9+021028	14
04 43 12.20	+06 48 11.0	J044312.2+064811	27
04 43 15.60	-41 06 07.5	J044315.6-410607	 9
04 43 16.00	+17 04 05.0	J044316.0+170405	11
04 43 16.30	-09 37 07.0	J044316.3-093707	10
04 43 16.90	-23 37 36.5	J044316.9-233736	 9
04 43 20.80	-28 20 39.5	J044320.8-282039	10
04 43 28.40	-41 51 51.0	J044328.4-415151	 8
04 43 33.50	+14 45 16.5	J044333.5+144516	11
04 43 34.60	-08 47 44.0	J044334.6-084744	 8
04 43 46.10	-10 41 04.0	J044346.1-104104	 8
04 43 55.70	-24 42 00.0	J044355.7-244200	16
04 43 56.80	-39 26 11.0	J044356.8-392611	12
04 43 57.50	+37 23 03.5	J044357.5+372303	10
