#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2007-01-30T20:45:32
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml24157	

#RESOURCE=5050
#Name: V/50
#Title:	Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Table	V_50_catalog:
#Name: V/50/catalog
#Title:	The main part of the Catalogue
#Coosys	J2000_2000.000:	eq_FK5 2000_2000.000
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)
#---List of  values:     	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#HR	RAJ2000	DEJ2000	Vmag	B-V
#	"h:m:s"	"d:m:s"	mag	mag
#----	----------	---------	-----	-----
1618	05 01 50.3	+00 43 20	 5.92	 1.27
1619	05 02 00.0	+01 36 32	 6.24	-0.04
1620	05 03 05.7	+21 35 24	 4.64	 0.16
1621	05 01 25.6	-20 03 07	 4.91	-0.05
1622	05 06 08.5	+58 58 21	 5.08	-0.08
1623	05 06 12.2	+59 01 16	 6.08	 1.12
1624	05 06 29.7	+61 10 12	 6.04	 1.37
1625	05 02 45.5	-04 12 35	 5.85	 1.21
1626	05 04 14.5	+30 29 41	 6.14	 1.21
1627	05 04 36.9	+32 19 13	 6.62	 0.27
1628	05 02 09.8	-26 16 30	 5.02	 1.07
1629	04 55 11.2	-74 56 13	 5.47	 1.52
1630	05 06 22.0	+54 24 21	 7.24	
1631	05 01 34.5	-39 43 05	 6.03	 0.88
1632	05 04 37.9	+27 41 46	 6.60	 0.24
1633	05 04 21.6	+21 16 41	 6.19	 1.32
1634	05 02 44.9	-22 47 42	 5.75	 1.20
1635	05 02 22.8	-31 46 17	 5.94	 1.17
1636	05 09 36.7	+69 38 22	 6.41	 1.11
1637	05 06 40.6	+51 35 52	 5.00	 0.33
1638	05 04 34.1	+15 24 15	 4.68	-0.06
1639	05 06 00.9	+35 56 11	 6.52	 0.16
1640	05 03 52.0	-14 22 10	 6.41	-0.18
1641	05 06 30.9	+41 14 04	 3.17	-0.18
1642	05 05 32.1	+19 48 23	 6.44	 0.21
1643	05 12 22.4	+73 56 48	 5.43	-0.12
1644	05 06 49.6	+43 10 29	 6.20	 0.43
1645	05 03 53.3	-24 23 16	 5.61	 0.10
1646	05 04 54.5	-03 02 23	 6.05	-0.11
1647	05 09 44.5	+64 55 10	 6.41	 0.40
1648	05 05 23.7	+01 10 39	 6.17	 3.45
1649	05 02 48.6	-49 09 05	 5.38	 0.42
1650	05 14 35.6	+76 28 22	 6.37	-0.02
1651	05 03 54.0	-41 44 42	 6.31	 0.53
1652	05 04 24.4	-35 29 00	 4.55	 1.20
1653	05 04 26.1	-35 42 19	 6.34	 0.30
1654	05 05 27.7	-22 22 16	 3.19	 1.46
1655	05 05 16.2	-26 09 09	 5.73	 1.17
1656	05 07 27.0	+18 38 42	 5.00	 0.65
1657	05 06 45.7	-04 39 18	 5.12	-0.06
1658	05 07 48.4	+20 25 06	 5.30	 0.09
1659	05 08 06.6	+24 15 55	 5.50	 0.06
1660	05 07 55.5	+21 42 17	 5.89	 0.19
1661	05 06 36.7	-13 07 19	 6.05	-0.06
1662	05 07 38.3	+09 28 19	 6.17	 0.62
1663	05 04 58.0	-49 34 40	 5.03	 1.49
1664	05 07 52.9	+08 29 54	 5.34	 0.33
1665	05 07 25.0	-12 29 26	 5.97	 0.60
1666	05 07 51.0	-05 05 11	 2.79	 0.13
1667	05 05 00.6	-54 24 27	 6.27	 1.54
1668	05 10 42.9	+46 57 44	 5.68	 0.42
1669	05 10 18.9	+37 18 07	 6.02	 0.72
1670	05 09 45.1	+28 01 50	 6.01	 0.27
1671	05 08 20.2	-08 39 54	 5.78	-0.06
1672	05 09 19.6	+09 49 46	 5.43	 0.24
1673	05 08 43.6	-04 27 22	 5.12	 0.44
1674	05 05 30.6	-57 28 22	 4.72	 0.52
1675	05 13 03.2	+61 51 00	 6.17	 0.02
1676	05 09 42.0	+15 35 50	 4.82	 0.32
1677	05 02 43.0	-71 18 52	 5.31	 1.00
1678	05 13 31.3	+62 41 29	 6.50	 0.21
1679	05 09 08.8	-08 45 15	 4.27	-0.19
1680	05 08 14.8	-35 43 06	 6.52	 1.08
1681	05 10 03.2	-00 33 55	 6.10	 1.10
1682	05 00 13.2	-78 18 01	 6.29	 1.51
1683	05 18 13.3	+73 16 05	 5.74	
1684	05 11 41.6	+16 02 44	 5.18	 1.49
1685	05 10 58.0	-02 15 14	 6.25	 0.98
1686	05 22 33.5	+79 13 52	 5.05	 0.47
1687	05 11 19.2	-02 29 27	 5.90	 0.46
1688	05 15 11.3	+59 24 20	 6.15	 1.18
1689	05 13 25.7	+38 29 04	 4.86	 0.18
1690	05 11 41.4	+00 30 53	 6.67	-0.07
1691	05 11 45.3	+01 02 13	 5.89	 0.66
1692	05 14 44.3	+53 12 50	 6.20	 0.07
1693	05 11 22.8	-11 50 57	 5.68	 1.46
1694	05 10 44.5	-25 54 34	 6.41	 1.25
1695	05 07 34.0	-63 23 59	 5.20	 1.65
1696	05 12 17.9	-11 52 09	 4.45	-0.10
1697	05 12 48.2	-06 03 26	 5.91	 0.96
1698	05 13 17.5	+02 51 40	 4.46	 1.19
1699	05 11 35.9	-37 23 43	 6.57	 1.62
1700	05 06 09.3	-73 02 16	 6.27	-0.01
1701	05 13 31.6	+01 58 05	 6.09	 0.42
1702	05 12 55.9	-16 12 20	 3.31	-0.11
1703	05 13 47.2	+00 33 37	 6.32	 1.46
1704	05 13 33.3	-08 08 52	 6.37	-0.13
1705	05 13 13.9	-12 56 29	 4.36	-0.10
1706	05 15 24.4	+32 41 16	 5.02	 0.23
1707	05 17 17.8	+53 35 10	 6.50	 1.66
1708	05 16 41.4	+45 59 53	 0.08	 0.80
1709	05 14 44.1	+05 09 22	 5.50	 1.37
1710	05 13 59.9	-14 36 24	 6.21	 0.37
1711	05 15 27.7	+22 17 05	 6.27	 0.08
1712	05 16 18.2	+34 18 43	 5.96	 0.22
1713	05 14 32.3	-08 12 06	 0.12	-0.03
1714	05 43 48.7	+85 40 05	 6.60	
1715	05 13 46.5	-35 49 32	 6.98	 1.47
1716	04 58 50.9	-82 28 14	 5.85	 0.93
1717	05 15 18.4	-01 24 33	 6.15	 0.39
1718	05 16 04.1	+11 20 29	 5.56	-0.04
1719	05 19 27.8	+58 07 02	 6.13	-0.03
1720	05 20 22.6	+62 39 13	 5.61	 1.75
1721	05 14 28.8	-35 58 38	 5.76	 1.01
1722	05 18 15.9	+42 47 32	 5.48	 1.65
1723	05 15 24.3	-26 56 36	 5.07	-0.10
1724	05 16 41.1	+01 56 50	 6.42	-0.02
1725	05 18 40.4	+40 27 54	 6.18	 1.37
1726	05 18 10.7	+33 22 18	 4.54	 1.27
1727	05 13 53.3	-52 01 52	 6.05	 1.39
1728	05 18 18.9	+33 46 02	 6.14	-0.06
1729	05 19 08.5	+40 05 57	 4.71	 0.63
1730	05 15 47.0	-34 55 36	 6.66	 0.15
1731	05 16 48.1	-17 08 30	 6.56	-0.16
1732	05 19 00.0	+33 44 54	 5.41	-0.19
1733	05 20 02.3	+44 25 32	 6.62	
1734	05 19 23.6	+33 59 08	 6.49	 0.24
1735	05 17 36.4	-06 50 40	 3.60	-0.11
1736	05 20 39.3	+46 57 50	 6.54	 0.60
1737	05 17 40.2	-13 31 11	 5.50	 0.93
1738	05 20 14.8	+41 05 10	 5.52	 0.11
1739	05 19 16.6	+22 05 47	 4.94	 0.93
1740	05 20 00.9	+33 57 29	 5.03	 0.27
1741	05 19 14.7	+20 08 05	 6.08	 1.01
1742	05 15 38.9	-52 10 55	 6.49	 1.21
1743	05 17 29.1	-34 53 43	 4.83	 1.00
1744	05 13 45.4	-67 11 07	 4.83	 1.28
1745	05 29 25.7	+77 58 39	 6.56	 0.14
1746	05 19 11.2	+02 35 45	 5.34	 0.41
1747	05 18 50.4	-18 07 48	 5.96	 0.58
1748	05 19 35.2	-01 24 44	 6.34	-0.11
1749	05 21 48.4	+41 48 16	 5.23	-0.15
1750	05 20 59.3	+27 57 26	 6.33	 0.04
1751	05 23 27.8	+57 32 40	 5.28	-0.03
1752	05 21 12.7	+29 34 12	 5.76	 0.06
1753	05 19 17.5	-18 31 12	 6.36	-0.16
1754	05 19 18.3	-18 30 35	 6.54	-0.11
1755	05 20 56.6	+19 48 51	 6.18	 1.23
1756	05 19 34.5	-13 10 36	 4.29	-0.26
1757	05 19 59.1	-12 18 56	 5.30	-0.12
1758	05 19 23.7	-27 22 08	 5.99	-0.04
1759	05 20 26.4	-05 22 00	 6.39	-0.03
1760	05 22 50.3	+41 01 46	 5.54	 0.12
1761	05 21 19.3	+04 00 43	 6.57	-0.09
1762	05 20 26.9	-21 14 22	 4.71	-0.05
1763	05 21 43.6	+08 25 43	 5.80	-0.13
1764	05 21 31.8	-00 24 59	 5.68	-0.12
1765	05 21 45.7	-00 22 57	 4.73	-0.17
1766	05 20 20.6	-34 41 56	 6.34	 0.33
1767	05 19 22.1	-50 36 22	 5.45	 0.51
1768	05 23 22.9	+28 56 12	 6.46	-0.04
1769	05 21 51.0	-13 45 22	 6.56	-0.09
1770	05 22 50.0	+03 32 40	 5.00	-0.15
1771	05 21 46.2	-24 46 23	 5.06	 0.67
1772	05 21 16.9	-34 20 43	 6.09	-0.19
1773	05 24 39.2	+37 23 08	 4.99	 1.42
1774	05 23 37.7	+16 41 58	 6.08	 0.14
1775	05 24 38.3	+31 13 26	 6.28	 1.24
1776	05 24 38.5	+31 08 35	 5.94	 0.04
1777	05 23 31.1	+05 19 21	 6.35	 0.12
1778	05 23 18.5	-08 24 57	 5.90	-0.03
1779	05 25 13.0	+34 51 19	 6.55	 1.11
1780	05 24 25.4	+17 23 00	 4.99	 0.53
1781	05 23 42.3	-00 09 35	 5.70	-0.21
1782	05 23 51.4	-00 52 02	 6.11	 0.50
1783	05 23 30.2	-13 55 38	 5.25	-0.21
1784	05 23 56.8	-07 48 29	 4.14	 0.96
1785	05 23 12.0	-26 42 21	 6.49	 0.50
1786	05 24 36.2	+02 21 10	 6.32	-0.15
1787	05 24 28.9	-00 53 29	 5.08	 0.96
1788	05 24 28.6	-02 23 49	 3.36	-0.17
1789	05 24 44.8	+01 50 47	 4.95	-0.20
1790	05 25 07.9	+06 20 59	 1.64	-0.22
1791	05 26 17.5	+28 36 27	 1.65	-0.13
1792	05 24 28.4	-16 58 34	 5.65	 0.00
1793	05 23 24.0	-39 40 43	 5.71	 1.62
1794	05 26 54.3	+35 27 26	 6.15	 1.45
1795	05 26 48.9	+34 23 30	 5.94	 0.14
1796	05 26 51.3	+33 15 46	 6.15	 1.15
1797	05 23 39.0	-37 20 12	 6.82	 1.04
1798	05 26 05.7	+16 42 01	 6.25	-0.08
1799	05 25 01.6	-10 19 45	 5.61	 1.56
1800	05 25 31.2	-00 32 39	 6.57	-0.05
1801	05 22 22.1	-56 08 04	 6.11	-0.10
1802	05 30 10.2	+63 04 02	 5.42	 1.71
1803	05 25 47.0	+00 31 15	 6.16	-0.18
1804	05 27 08.3	+30 12 31	 5.74	 0.16
1805	05 27 38.9	+34 28 33	 5.07	 1.40
1806	05 26 02.4	-05 31 06	 6.23	-0.06
1807	05 26 38.8	+06 52 09	 6.42	-0.02
1808	05 27 10.1	+17 57 44	 5.42	-0.10
1809	05 27 13.8	+15 15 28	 6.16	 0.08
1810	05 27 38.1	+21 56 13	 4.88	-0.15
1811	05 26 50.2	+03 05 44	 4.59	-0.21
1812	05 25 59.8	-19 41 44	 5.89	 0.40
1813	05 24 55.6	-44 13 33	 6.08	 1.20
1814	05 27 45.6	+15 52 27	 5.50	 0.01
1815	05 12 25.7	-81 32 30	 6.51	 1.11
1816	05 28 01.6	+17 14 20	 5.77	 1.63
1817	05 27 04.8	-11 54 03	 6.35	 0.51
1818	05 24 46.2	-52 18 59	 6.27	 0.07
1819	05 28 34.8	+13 40 44	 6.35	 0.15
1820	05 28 01.6	+01 17 54	 6.41	-0.18
1821	05 29 16.5	+25 09 02	 5.47	-0.04
1822	05 29 40.6	+29 11 11	 6.24	 0.45
1823	05 27 36.5	-21 22 32	 6.07	 1.04
1824	05 30 48.6	+41 27 43	 6.00	 1.11
1825	05 30 45.1	+39 49 33	 6.37	 0.97
1826	05 28 56.7	-03 18 27	 6.39	-0.01
1827	05 27 05.3	-40 56 37	 5.87	 0.23
1828	05 32 33.8	+57 13 16	 6.48	 0.57
1829	05 28 14.7	-20 45 34	 2.84	 0.82
1830	05 29 23.6	-03 26 47	 5.79	 1.15
1831	05 30 43.4	+22 27 45	 6.29	 1.18
1832	05 30 26.1	+15 21 37	 5.94	 0.14
1833	05 29 54.8	+01 47 21	 5.78	-0.20
1834	05 29 44.0	-01 05 32	 4.71	 1.57
1835	05 28 15.3	-37 13 50	 5.57	 0.02
1836	05 26 19.3	-58 54 45	 5.14	 1.00
1837	05 30 19.8	+04 12 15	 6.21	 1.27
1838	05 29 06.7	-30 07 00	 6.75	 1.06
1839	05 30 47.1	+05 56 53	 4.20	-0.14
1840	05 30 20.7	-07 26 05	 6.33	-0.19
1841	          	         	     	
1842	05 31 14.5	+03 17 32	 5.46	-0.18
1843	05 32 43.7	+32 11 31	 4.76	 0.34
1844	05 39 43.7	+75 02 38	 6.17	 1.57
1845	05 32 12.8	+18 35 40	 4.38	 2.07
1846	05 33 28.7	+42 06 32	 6.55	-0.02
1847	05 32 14.2	+17 03 29	 5.46	-0.04
1848	05 31 20.9	-06 42 30	 6.22	-0.17
1849	05 31 07.6	-20 51 49	 5.55	 0.00
1850	05 33 27.5	+32 48 04	 6.48	 0.09
1851	05 32 00.5	-00 17 04	 6.85	-0.16
1852	05 32 00.4	-00 17 57	 2.23	-0.22
1853	05 37 16.2	+66 41 46	 6.26	
1854	05 33 38.0	+34 43 33	 6.27	 0.15
1855	05 31 55.8	-07 18 05	 4.62	-0.26
1856	05 30 09.5	-47 04 40	 5.46	 0.62
1857	05 37 15.1	+64 09 17	 6.15	 0.01
1858	05 33 31.6	+18 32 25	 5.69	 0.01
1859	05 27 00.0	-68 37 22	 6.03	 0.34
1860	05 33 38.8	+20 28 27	 6.18	-0.07
1861	05 32 41.3	-01 35 31	 5.35	-0.19
1862	05 31 12.7	-35 28 14	 3.87	 1.14
1863	05 33 07.2	-01 43 06	 6.46	-0.09
1864	05 33 54.3	+14 18 20	 5.64	-0.14
1865	05 32 43.8	-17 49 20	 2.58	 0.21
1866	05 36 35.2	+54 25 44	 5.73	 1.63
1867	05 29 17.4	-62 18 52	 6.59	 1.53
1868	05 33 31.4	-01 09 22	 5.34	-0.18
1869	05 36 15.9	+47 42 55	 6.11	 0.26
1870	05 31 36.1	-45 55 31	 5.86	 1.35
1871	05 33 57.6	+01 24 28	 6.59	-0.17
1872	05 34 16.7	+03 46 01	 5.36	 0.05
1873	05 34 03.9	-01 02 08	 6.22	-0.17
1874	05 34 04.0	-01 28 14	 5.93	 1.55
1875	05 35 27.1	+24 02 22	 5.38	-0.09
1876	05 34 49.2	+09 29 22	 4.41	-0.16
1877	05 32 51.3	-38 30 47	 5.48	 1.22
1878	05 35 55.5	+27 39 44	 6.27	 1.54
1879	05 35 08.3	+09 56 03	 3.54	-0.18
1880	05 35 08.5	+09 56 06	 5.61	 0.04
1881	05 33 07.4	-35 08 23	 5.78	 1.07
1882	05 30 15.9	-63 55 40	 6.19	 0.22
1883	05 35 13.4	+10 14 24	 5.60	 0.12
1884	05 36 52.4	+40 10 56	 6.09	 1.03
1885	06 01 20.2	+85 10 56	 6.11	 1.57
1886	05 35 00.9	-06 00 33	 5.67	-0.23
1887	05 35 02.7	-06 00 07	 4.78	-0.25
1888	05 33 52.1	-29 50 56	 6.53	-0.02
1889	05 36 30.2	+25 56 22	 6.49	 0.43
1890	05 35 21.8	-04 29 36	 6.56	-0.13
1891	05 35 22.5	-04 25 31	 6.24	-0.15
1892	05 35 23.2	-04 50 18	 4.59	-0.19
1893	05 35 15.9	-05 23 14	 6.73	 0.02
1894	05 35 16.1	-05 23 07	 7.96	 0.24
1895	05 35 16.5	-05 23 23	 5.13	 0.02
1896	05 35 17.3	-05 23 16	 6.70	 0.09
1897	05 35 22.9	-05 24 58	 5.08	-0.09
1898	05 35 31.1	-04 21 53	 6.38	-0.14
1899	05 35 26.0	-05 54 36	 2.77	-0.24
1900	05 35 35.8	-03 15 10	 6.40	-0.12
1901	05 35 39.5	-04 51 21	 5.26	 0.24
1902	05 37 08.8	+26 55 27	 5.83	-0.07
1903	05 36 12.8	-01 12 07	 1.70	-0.19
1904	05 37 45.7	+33 33 33	 6.33	 1.31
1905	05 37 03.8	+17 02 25	 5.54	 0.22
1906	05 36 15.0	-05 38 53	 6.54	-0.18
1907	05 36 54.3	+09 17 26	 4.09	 0.95
1908	05 37 04.4	+11 02 06	 5.94	 1.58
1909	05 35 15.4	-33 04 48	 5.78	 1.12
1910	05 37 38.7	+21 08 33	 3.00	-0.19
1911	05 36 35.7	-06 03 54	 5.72	-0.22
1912	05 33 44.4	-54 54 08	 6.43	 0.55
1913	05 37 19.3	+08 57 07	 6.12	-0.17
1914	05 38 38.1	+30 29 33	 5.40	 0.45
1915	05 36 10.3	-28 42 28	 6.26	 0.13
1916	05 42 26.4	+65 41 52	 5.60	 1.24
1917	05 32 59.6	-64 13 39	 5.34	 1.04
1918	05 37 27.4	-05 56 18	 6.05	-0.22
1919	05 37 08.8	-11 46 32	 6.11	 0.05
1920	05 38 01.1	+07 32 29	 5.88	-0.07
1921	05 38 57.4	+26 37 04	 6.37	
1922	05 33 37.5	-62 29 23	 3.76	 0.82
1923	05 37 53.4	-04 48 49	 6.19	-0.04
1924	05 39 18.4	+29 12 55	 5.96	 0.16
1925	05 41 20.3	+53 28 52	 6.23	 0.84
1926	05 37 16.5	-27 52 17	 6.16	 0.34
1927	05 36 02.7	-47 18 50	 6.11	 1.16
1928	05 39 44.2	+25 53 49	 5.18	-0.15
1929	05 39 27.0	+21 45 46	 6.34	 0.06
1930	05 35 02.4	-58 52 16	 6.75	 1.45
1931	05 38 44.8	-02 36 00	 3.81	-0.24
1932	05 38 47.1	-02 35 39	 6.65	-0.19
1933	05 38 37.8	-06 34 26	 5.96	-0.23
1934	05 39 11.1	+04 07 17	 4.57	-0.11
1935	05 37 44.6	-28 41 22	 5.31	 0.46
1936	05 34 57.6	-61 10 33	 6.32	 0.85
1937	05 38 53.1	-07 12 47	 4.80	 0.13
1938	05 40 35.9	+31 21 29	 6.04	 0.04
1939	05 40 42.1	+31 55 15	 6.11	 2.12
1940	05 39 31.2	-03 33 53	 6.00	 0.27
1941	05 43 01.6	+56 34 54	 6.05	 0.95
1942	05 39 30.8	-09 42 24	 6.50	-0.10
1943	05 44 08.6	+61 28 36	 6.15	 0.90
1944	05 39 16.3	-17 50 58	 6.38	-0.12
1945	05 41 21.0	+29 29 15	 6.43	-0.11
1946	05 41 17.7	+16 32 02	 4.86	-0.13
1947	05 38 43.6	-40 42 27	 5.82	-0.09
1948	05 40 45.5	-01 56 34	 2.05	-0.21
1949	05 40 45.6	-01 56 34	 4.21	
1950	05 40 37.3	-02 49 30	 6.22	-0.20
1951	05 41 54.6	+23 19 35	 6.59	-0.06
1952	05 40 50.6	-01 07 44	 4.95	-0.21
1953	05 31 52.9	-76 20 28	 5.19	 1.13
1954	05 42 03.9	+22 39 37	 6.36	
1955	05 41 05.6	+00 20 16	 5.93	 0.30
1956	05 39 38.9	-34 04 27	 2.64	-0.12
1957	05 40 46.0	-10 24 34	 6.52	-0.16
1958	05 39 49.8	-32 37 45	 5.45	 0.92
1959	05 41 40.3	-02 53 46	 6.42	 0.30
1960	05 36 54.7	-66 33 37	 6.31	-0.07
1961	05 43 19.5	+23 12 15	 6.21	-0.06
1962	05 41 41.5	-16 43 32	 6.21	-0.13
1963	05 42 28.6	+01 28 29	 4.91	 1.17
1964	05 34 44.7	-73 44 29	 5.78	 1.71
1965	05 42 14.3	-17 31 49	 6.15	 1.38
1966	05 41 27.0	-33 24 02	 6.34	-0.04
1967	05 42 53.8	-06 47 46	 6.02	 0.40
1968	05 42 13.9	-22 22 25	 5.87	 0.11
1969	05 46 30.4	+56 06 56	 5.94	 0.17
1970	05 43 09.3	-01 36 47	 6.31	 1.47
1971	05 45 54.0	+49 49 35	 5.47	 0.03
1972	05 42 11.6	-30 32 08	 6.19	 0.01
1973	05 42 15.1	-34 40 04	 5.29	-0.05
1974	05 45 49.5	+40 30 26	 6.58	 0.25
1975	05 43 21.6	-18 33 27	 5.73	-0.01
1976	05 49 04.9	+62 48 29	 6.13	
1977	05 45 39.4	+20 41 42	 6.95	 3.03
1978	05 45 01.9	+04 00 29	 6.09	 0.31
1979	05 47 14.7	+42 31 36	 6.29	 1.35
1980	05 44 28.4	-20 07 35	 6.34	 0.58
1981	05 43 30.2	-39 24 25	 6.25	 0.37
1982	05 44 26.5	-22 25 18	 6.15	 0.94
1983	05 44 27.8	-22 26 54	 3.60	 0.47
1984	05 43 41.1	-45 49 59	 6.39	 0.29
1985	05 46 45.5	+15 49 21	 6.00	-0.06
1986	05 46 02.8	-04 16 06	 6.34	 1.05
1987	05 46 52.1	+09 31 20	 5.79	 0.88
1988	05 46 35.0	+01 10 05	 5.95	 0.78
1989	05 47 13.2	+14 29 18	 5.72	 0.04
1990	05 47 26.2	+17 43 45	 5.49	 0.30
1991	05 35 36.3	-78 49 15	 6.05	-0.02
1992	05 50 34.0	+56 55 08	 6.54	
1993	05 47 42.9	+13 53 59	 5.29	-0.17
1994	05 52 55.5	+68 28 17	 6.20	 0.95
1995	05 49 10.5	+39 10 52	 4.52	 0.94
1996	05 45 59.9	-32 18 23	 5.17	-0.28
1997	05 48 22.4	+20 52 10	 6.07	-0.08
1998	05 46 57.3	-14 49 19	 3.55	 0.10
1999	05 48 00.2	+06 27 15	 5.27	 0.23
2000	05 47 07.6	-16 14 16	 6.17	 0.89
2001	05 47 26.7	-10 31 59	 6.03	 0.16
2002	05 49 01.0	+24 34 03	 4.86	 1.01
2003	05 50 56.4	+51 30 53	 6.29	 1.05
2004	05 47 45.4	-09 40 11	 2.06	-0.17
2005	05 47 04.7	-28 38 21	 6.22	-0.15
2006	05 52 17.4	+58 57 51	 6.14	-0.04
2007	05 48 34.9	-04 05 41	 5.97	 0.64
2008	05 46 27.4	-46 35 50	 5.31	 1.04
2009	05 47 18.6	-35 40 29	 6.32	 1.18
2010	05 49 32.9	+12 39 04	 4.91	-0.07
2011	05 51 02.4	+37 18 20	 4.74	 1.62
2012	05 51 29.4	+39 08 55	 3.97	 1.13
2013	05 50 58.1	+27 58 04	 5.56	 0.97
2014	05 50 02.6	+09 52 16	 5.80	 0.87
2015	05 44 46.4	-65 44 08	 4.35	 0.21
2016	05 50 28.9	+14 18 20	 5.52	 1.01
2017	05 47 58.1	-40 39 09	 6.61	 1.12
2018	05 51 25.7	+32 07 30	 6.25	 1.75
2019	05 50 13.1	+04 25 24	 5.97	 1.36
2020	05 47 17.1	-51 03 59	 3.85	 0.17
2021	05 49 36.5	-14 29 01	 5.49	 0.88
2022	05 37 09.8	-80 28 09	 5.65	 0.60
2023	05 47 13.0	-54 21 39	 6.18	 1.40
2024	05 50 30.0	+02 01 28	 5.98	 0.91
2025	05 52 39.5	+39 34 28	 6.45	 0.09
2026	05 49 53.5	-22 58 18	 5.87	 0.06
2027	05 54 57.8	+59 53 18	 5.20	 0.02
2028	05 52 40.1	+33 55 03	 5.98	 1.60
2029	05 54 50.8	+55 42 25	 4.99	 0.05
2030	05 52 23.4	+19 52 05	 6.06	 0.54
2031	05 51 22.0	-07 31 05	 5.35	-0.20
2032	05 49 34.1	-44 52 31	 6.38	 1.27
2033	05 52 22.3	+14 10 18	 5.59	-0.05
2034	05 53 19.6	+27 36 44	 4.58	-0.02
2035	05 51 19.3	-20 52 45	 3.81	 0.99
2036	05 51 28.6	-22 55 34	 6.17	 1.02
2037	05 52 26.4	+01 51 18	 4.78	 1.38
2038	05 53 19.1	+20 17 57	 6.71	-0.07
2039	05 52 07.6	-09 02 29	 5.97	 0.10
2040	05 50 57.6	-35 46 06	 3.12	 1.16
2041	05 57 35.0	+66 05 46	 6.25	 1.36
2042	05 49 49.7	-56 10 00	 4.51	 1.10
2043	05 51 59.5	-29 26 55	 6.45	 1.48
2044	05 50 28.6	-52 46 04	 6.35	 0.76
2045	05 56 14.4	+51 48 14	 6.49	
2046	05 54 59.0	+31 42 06	 5.90	 0.14
2047	05 54 22.9	+20 16 34	 4.41	 0.59
2048	05 54 13.4	+10 35 13	 6.12	 1.47
2049	05 50 53.2	-52 06 32	 5.17	 0.99
2050	05 54 32.2	+11 45 45	 6.59	 0.03
2051	05 54 15.7	+03 13 31	 6.31	 1.29
2052	05 54 56.7	+19 44 59	 5.92	-0.17
2053	05 52 33.2	-37 37 52	 5.63	 1.04
2054	05 57 04.9	+49 01 46	 6.47	 0.99
2055	05 52 47.7	-38 31 33	 6.70	 1.08
2056	05 53 06.9	-33 48 05	 4.87	-0.15
2057	05 54 44.1	+00 58 06	 6.00	 1.34
2058	05 54 34.7	-04 03 50	 6.57	-0.18
2059	05 30 13.9	-84 47 06	 6.20	-0.02
2060	05 53 57.4	-19 38 18	 6.69	 0.10
2061	05 55 10.3	+07 24 25	 0.50	 1.85
2062	05 47 48.1	-72 42 08	 6.53	 1.08
2063	05 55 49.3	+20 10 30	 5.40	 0.99
2064	05 49 53.6	-66 54 04	 5.11	-0.14
2065	05 54 43.6	-11 46 26	 5.66	 1.53
2066	05 56 33.8	+28 56 32	 6.32	 0.30
2067	05 56 03.5	+13 55 31	 6.60	 0.65
2068	05 54 14.1	-29 08 52	 6.36	 0.37
2069	05 53 22.9	-42 55 17	 6.55	 1.37
2070	05 55 30.3	-04 36 59	 5.87	 1.18
2071	05 55 35.4	-04 47 18	 6.28	 0.06
2072	05 52 20.3	-57 09 22	 5.94	 0.66
2073	05 51 23.0	-64 02 01	 6.36	 0.86
2074	05 56 56.1	+24 14 59	 6.02	 0.39
2075	05 56 28.0	+09 30 35	 5.99	-0.07
2076	05 56 49.5	+11 31 16	 5.87	 1.10
2077	05 59 31.6	+54 17 05	 3.72	 1.00
2078	06 05 09.3	+75 35 09	 6.40	
2079	05 59 45.7	+55 19 15	 6.44	 0.31
2080	05 59 48.1	+54 32 50	 6.14	 1.20
2081	05 59 21.8	+49 55 28	 5.89	 1.23
2082	05 54 52.5	-39 57 29	 5.57	 1.51
2083	05 54 10.7	-50 21 43	 6.52	 0.90
2084	05 57 59.7	+25 57 14	 4.82	-0.06
2085	05 56 24.3	-14 10 04	 3.71	 0.33
2086	05 56 14.3	-22 50 25	 5.96	 1.11
2087	05 55 29.9	-37 07 15	 4.97	 1.11
2088	05 59 31.7	+44 56 51	 1.90	 0.03
2089	05 54 41.1	-49 37 37	 6.10	-0.13
2090	05 56 34.5	-23 12 56	 6.36	 1.07
2091	05 59 56.1	+45 56 13	 4.26	 1.72
2092	05 56 20.9	-31 22 57	 5.50	
2093	05 57 54.2	+01 13 28	 6.22	 1.48
2094	05 54 50.2	-52 38 07	 5.29	 0.31
2095	05 59 43.3	+37 12 45	 2.62	-0.08
2096	06 00 19.0	+44 35 31	 6.22	
2097	05 58 11.7	-00 59 39	 6.22	 1.14
